Row,Column,Block,Population,Family,Replicate,Comment,Date_oldest_inflor_flower,Date_youngest_inflor_flower,Date_first_follicle_2in,Pods,Peduncles,Flower_count_I1,Hood_L.I1F1,Hood_W.I1F1,Corolla_L.I1F1,Corolla_W.I1F1,Flower_L.I1F1,Flower_W.I1F1,Poll_rem.I1F1,Hood_L.I1F2,Hood_W.I1F2,Corolla_L.I1F2,Corolla_W.I1F2,Flower_L.I1F2,Flower_W.I1F2,Poll_rem.I1F2,Hood_L.I1F3,Hood_W.I1F3,Corolla_L.I1F3,Corolla_W.I1F3,Flower_L.I1F3,Flower_W.I1F3,Poll_rem.I1F3,Flower_count_I2,Hood_L.I2F1,Hood_W.I2F1,Corolla_L.I2F1,Corolla_W.I2F1,Flower_L.I2F1,Flower_W.I2F1,Poll_rem.I2F1,Hood_L.I2F2,Hood_W.I2F2,Corolla_L.I2F2,Corolla_W.I2F2,Flower_L.I2F2,Flower_W.I2F2,Poll_rem.I2F2,Hood_L.I2F3,Hood_W.I2F3,Corolla_L.I2F3,Corolla_W.I2F3,Flower_L.I2F3,Flower_W.I2F3,Poll_rem.I2F3,Flower_count_I3,Hood_L.I3F1,Hood_W.I3F1,Corolla_L.I3F1,Corolla_W.I3F1,Flower_L.I3F1,Flower_W.I3F1,Poll_rem.I3F1,Hood_L.I3F2,Hood_W.I3F2,Corolla_L.I3F2,Corolla_W.I3F2,Flower_L.I3F2,Flower_W.I3F2,Poll_rem.I3F2,Hood_L.I3F3,Hood_W.I3F3,Corolla_L.I3F3,Corolla_W.I3F3,Flower_L.I3F3,Flower_W.I3F3,Poll_rem.I3F3
7,31,2,62,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,32,2,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,33,2,12,2,2,,7/13/2022,7/27/2022,8/8/2022,20,10,53,2.82,1.93,6.73,3.28,7.39,7.2,0,2.91,1.84,6.84,3.16,7.58,7.69,1,3.16,1.88,6.81,3.58,8.23,7.12,0,40,3.77,2.28,7.59,4,9.8,9.52,0,3.87,2.21,7.81,4.03,9.68,9.31,1,3.41,2.12,8.36,4.08,9.58,9.14,0,,,,,,,,,,,,,,,,,,,,,,
7,34,2,57,4,5,,7/8/2022,7/20/2022,8/2/2022,21,6,10,3.63,2.3,8.84,4.24,9.85,9.51,0,3.84,2.16,8.47,4.01,9.58,9.74,2,3.69,2.14,8.36,4.17,9.95,9.43,3,3,3.59,2.51,8.22,4.12,9.67,9.46,0,3.47,2.25,8.27,3.96,10.05,9.75,2,3.39,2.24,8.26,4.17,9.62,9.31,1,,,,,,,,,,,,,,,,,,,4.28,,,
7,35,2,62,3,5,,7/4/2022,8/4/2022,8/2/2022,11,4,26,3.34,2.44,8.09,4.06,10.29,10.04,1,3.25,2.17,8.11,4.03,10.15,9.68,0,3.65,2.51,8.19,4.11,9.88,9.62,0,47,3.65,2.19,7.56,4.23,10.58,10.1,0,3.82,2.13,7.41,4.06,10.2,9.87,2,3.67,2.16,7.84,4.03,9.69,9.83,2,,,,,,,,,,,,,,,,,,,,,,
7,36,2,79,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,37,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,38,2,64,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,39,2,19,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,40,2,30,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
