"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Comment","Date","Dead","Leaf_not_coll","Date_weighed_Soaked","Leaf_weight_g_Soaked","Photographed","Date_processed_ImageJ","Area_mm_sq","Length_mm","Width_mm","Len_div_wid","Comment.1","Dates_dried","Date_weighed_dried","Leaf_weight_g_Dried","Weighed_by","SLA","LDMC","X","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"53","MW003",3,20,13,3,4,4,NA,NA,0,NA,"8/8/2020",2.1797,"yes",20201019,6091.845,143.26,56.09,2.5541,"","5/26/21-5/28/21","5/31/2021",0.3066,"Olivia ",19.86903131,0.140661559,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"54","MW003",3,16,43,4,2,3,NA,NA,0,NA,"",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"55","MW003",3,1,22,1,3,5,NA,NA,0,NA,"8/6/2020",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"56","MW003",3,21,43,4,4,2,NA,NA,0,NA,"8/8/2020",0.7958,"yes",20201024,2506.119,92.35,35.04,2.6356,"the leaf had noticeable herbivory","5/22/21-5/24/21","5/28/2021",0.0998,"Olivia",25.11141283,0.125408394,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"57","MW003",3,16,37,4,3,1,NA,NA,0,NA,"8/8/2020",0.5257,"No",NA,NA,NA,NA,NA,"Forgot to photograph?","5/22/21-5/24/21","5/28/2021",0.0746,"Olivia",NA,0.14190603,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"58","MW003",3,15,42,4,3,4,NA,NA,0,NA,"8/7/2020",0.3352,"yes",20201009,1032.512,66.89,22.34,2.9942,"","5/15/21-5/17/21","5/25/2021",0.0788,"Samer",13.10294416,0.235083532,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"59","MW003",3,18,10,3,5,2,NA,NA,0,NA,"8/8/2020",1.0421,"yes",20201016,3685.146,118.06,43.95,2.6862,"","5/15/21-5/17/21","5/20/2021",0.1477,"Olivia",24.95020988,0.141733039,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"60","MW003",3,9,9,1,2,2,NA,NA,0,NA,"8/7/2020",1.0382,"yes",20200924,4038.715,118.9,44.77,2.6558,"","5/18/21-5/20/21","5/20/2021",0.2034,"Olivia",19.85602262,0.195916009,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"61","MW003",3,18,45,4,1,1,NA,NA,0,NA,"8/8/2020",0.4309,"yes",20201016,1713.262,76.79,32.88,2.3355,"","5/15/21-5/17/21","5/20/2021",0.0607,"Olivia",28.22507414,0.140867951,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"62","MW003",3,6,20,1,5,1,NA,NA,0,NA,"8/6/2020",1.7488,"yes",20200917,5873.82,145.66,48.75,2.9879,"","5/22/21-5/24/21","5/28/2021",0.2275,"Olivia",25.81898901,0.130089204,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"63","MW003",3,11,2,1,4,1,NA,NA,0,NA,"8/7/2020",1.1571,"yes",20200928,2903.688,104.39,25.32,4.1228,"","5/22/21-5/24/21","5/28/2021",0.1479,"Olivia",19.6327789,0.127819549,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"64","MW003",3,18,41,4,5,5,NA,NA,0,NA,"8/8/2020",0.5103,"yes",20201016,1514.27,71.58,30.93,2.3143,"","5/15/21-5/17/21","5/19/2021",0.103,"Olivia",14.70165049,0.201842054,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"65","MW003",3,10,26,2,5,4,NA,NA,0,NA,"8/7/2020",0.7877,"yes",20200927,1794.806,83.22,28.52,2.918,"","5/15/21-5/17/21","5/20/2021",0.1215,"Olivia",14.77206584,0.154246541,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"66","MW003",3,5,11,1,2,4,NA,NA,0,NA,"8/6/2020",0.8614,"yes",20200915,3006.411,98.12,42.06,2.3329,"","6/1/21-6/3/21","6/3/2021",0.1321,"Olivia",22.75859955,0.153355004,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"67","MW003",3,15,44,4,2,1,NA,NA,0,NA,"8/7/2020",0.343,"yes",20201009,1506.173,74.42,27.42,2.7141,"","5/15/21-5/17/21","5/25/2021",0.0547,"Samer",27.53515539,0.159475219,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"68","MW003",3,21,12,3,1,2,NA,NA,1,NA,"",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"69","MW003",3,7,1,1,2,5,NA,NA,0,NA,"8/7/2020",0.7174,"yes",20200918,2030.172,95.05,30.23,3.1442,"","5/15/21-5/17/21","5/18/2021",0.1701,"Olivia",11.93516755,0.237106217,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"70","MW003",3,20,3,3,3,2,NA,NA,0,NA,"8/8/2020",0.5064,"yes",20201019,1767.658,80.27,28.8,2.7872,"","5/26/21-5/28/21","5/31/2021",0.0658,"Olivia ",26.86410334,0.129936809,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"71","MW003",3,21,38,4,3,3,NA,NA,0,NA,"8/8/2020",0.687,"yes",20201024,2656.258,97.13,38.02,2.5547,"","5/26/21-5/28/21","6.1.21",0.0926,"Olivia",28.68529158,0.134788937,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"72","MW003",3,20,40,4,5,3,NA,NA,0,NA,"",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"73","MW004",4,16,20,3,2,3,NA,NA,0,NA,"8/8/2020",0.6172,"yes",20201011,2306.046,88.79,35.27,2.5174,"","5/22/21-5/24/21","5/28/2021",0.0854,"Olivia",27.00288056,0.138366818,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"74","MW004",4,11,30,4,4,1,NA,NA,0,NA,"8/7/2020",2.3938,"yes",20200930,6036.571,133.2,58.66,2.2707,"folded","5/22/21-5/24/21","5/28/2021",0.3898,"Olivia",15.48632889,0.16283733,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"75","MW004",4,4,30,2,1,4,NA,NA,0,NA,"8/6/2020",1.164,"yes",20200914,3544.845,126.13,36.68,3.4387,"","6/1/21-6/3/21","6/3/2021",0.194,"Olivia",18.27239691,0.166666667,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"76","MW004",4,14,6,3,1,5,NA,NA,0,NA,"8/7/2020",1.5767,"yes",20201006,4218.809,123.76,42.6,2.9052," the leaf had noticeable herbivory","5/15/21-5/17/21","5/28/2021",0.2626,"Olivia",16.06553313,0.16655039,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"77","MW004",4,11,37,4,2,1,NA,NA,1,NA,"",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"78","MW004",4,8,32,2,3,3,NA,NA,0,NA,"8/7/2020",1.7155,"yes",20200922,3864.624,112.33,47.11,2.3844," the leaf had noticeable herbivory","5/15/21-5/17/21","5/18/2021",0.2511,"Olivia",15.39077658,0.14637132,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"79","MW004",4,3,24,2,4,5,NA,NA,0,NA,"8/6/2020",1.0843,"yes",20200911,2956.464,92.34,42.95,2.1499,"","6/1/21-6/3/21","6/3/2021",0.1838,"Olivia",16.08522307,0.169510283,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"80","MW004",4,16,18,3,5,5,NA,NA,1,NA,"",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"81","MW004",4,5,8,1,5,2,NA,NA,0,NA,"8/6/2020",1.2927,"yes",20200915,3295.221,116.48,39.92,2.9178,"","6/1/21-6/3/21","6/3/2021",0.264,"Olivia",12.48189773,0.204223718,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
"82","MW004",4,6,42,2,3,4,NA,NA,1,NA,"8/6/2020",NA,"No",NA,NA,NA,NA,NA,"there isn't an image associated with them",NA,NA,NA,NA,NA,NA,4,"AS005",43.567334,-79.686386,"South",26539.6859866781,26.5396859866781,"Urban",-0.9282644
