"","Row","Column","Block","Population","Family","Replicate","Date","Surveyor","Comment","Scar_length_mm"
"302",7,26,"2","67","1","5","7/1/2021","Hayden",NA,18.97
"303",7,27,"2","30","2","4","7/1/2021","Hayden",NA,26.62
"304",7,28,"2","8","2","2","7/1/2021","Hayden",NA,265.05
"305",7,29,"2","39","2","5","7/1/2021","Hayden",NA,253.98
"306",7,30,"2","56","3","5","7/1/2021","Hayden",NA,0
"307",7,31,"2","62","2","3","7/1/2021","Hayden",NA,148.01
"308",7,32,"2","5","1","4","7/1/2021","Hayden",NA,33.68
"309",7,33,"2","12","2","2","7/1/2021","Hayden",NA,342.26
"310",7,34,"2","57","4","5","7/1/2021","Hayden",NA,201
"311",7,35,"2","62","3","5","7/1/2021","Hayden",NA,0
"312",7,36,"2","79","5","1","7/1/2021","Hayden",NA,0
"313",7,37,"2","1","1","1","7/1/2021","Hayden",NA,105.02
"314",7,38,"2","64","3","4","7/1/2021","Hayden",NA,267.1
"315",7,39,"2","19","5","3","7/1/2021","Hayden",NA,49.86
"316",7,40,"2","30","4","4","7/1/2021","Hayden",NA,218.11
"317",7,41,"2","16","3","5","7/1/2021","Hayden",NA,385.43
"318",7,42,"2","13","3","1","7/1/2021","Hayden",NA,0
"319",7,43,"2","27","4","3","7/1/2021","Hayden",NA,0
"320",7,44,"2","11","2","5","7/1/2021","Hayden",NA,25.14
"321",7,45,"2","2","5","4","7/1/2021","Hayden",NA,0
"322",7,46,"2","29","5","2","7/1/2021","Hayden",NA,119.42
"323",8,1,"1","9","2","1","7/1/2021","Sophie",NA,68.7
"324",8,2,"1","57","1","2","7/1/2021","Sophie",NA,261.2
"325",8,3,"1","67","3","2","7/1/2021","Sophie",NA,73
"326",8,4,"1","21","5","1","7/1/2021","Sophie",NA,17.9
"327",8,5,"1","13","5","4","7/1/2021","Sophie",NA,47.3
"328",8,6,"1","74","1","3","7/1/2021","Sophie",NA,21.5
"329",8,7,"1","17","1","4","7/1/2021","Sophie",NA,17.8
"330",8,8,"1","15","4","4","7/1/2021","Sophie",NA,57.6
"331",8,9,"1","7","3","2","7/1/2021","Sophie",NA,0
"332",8,10,"1","12","3","2","7/1/2021","Sophie",NA,0
"333",8,11,"1","11","4","5","7/1/2021","Sophie",NA,0
"334",8,12,"1","20","5","1","7/1/2021","Sophie",NA,47.2
"335",8,13,"1","72","4","5","7/1/2021","Sophie",NA,102.8
"336",8,14,"1","62","2","5","7/1/2021","Sophie",NA,0
"337",8,15,"1","15","1","5","7/1/2021","Sophie",NA,117.3
