1,2,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,3,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,4,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,5,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,6,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,7,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,8,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,9,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,10,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,11,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,12,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
3,23,1,30,5,4,0,1077.0782,8/10/2020,8/21/2020,Sophie,,1085.6,8.5218
3,24,2,4,4,5,0,1067.0565,8/10/2020,8/21/2020,Sophie,,1087.72,20.6635
3,25,2,16,3,4,0,1068.2994,8/10/2020,8/21/2020,Sophie,,1072.94,4.6406
3,26,2,62,3,1,0,1066.3429,8/10/2020,8/21/2020,Sophie,,1071.58,5.2371
3,27,2,39,4,2,0,1071.5776,8/10/2020,8/21/2020,Sophie,,1081.21,9.6324
3,28,2,77,3,2,0,1056.322,8/10/2020,8/21/2020,Sophie,,1079.35,23.028
3,29,2,4,4,4,0,1066.7028,8/10/2020,8/19/2020,Sophie,,1071.98,5.2772
3,30,2,72,1,3,0,1082.7313,8/10/2020,8/19/2020,Sophie,,1088.55,5.8187
3,31,2,56,4,4,0,1061.675,8/10/2020,8/19/2020,Sophie,,1070.82,9.145
3,32,2,36,3,5,1,,,,,,NA,NA
3,33,2,21,2,5,0,1080.8294,8/10/2020,8/19/2020,Sophie,,1094.83,14.0006
3,34,2,31,1,3,0,1080.5224,8/10/2020,8/19/2020,Sophie,,1096.32,15.7976
3,35,2,77,5,5,0,1069.1047,8/10/2020,8/19/2020,Sophie,,1092.69,23.5853
3,36,2,72,2,3,0,1069.7067,8/10/2020,8/19/2020,Sophie,,1073.73,4.0233
3,37,2,56,2,1,0,1067.221,8/10/2020,8/19/2020,Sophie,,1071.75,4.529
3,38,2,46,2,3,0,1072.2884,8/10/2020,8/19/2020,Sophie,,1082.64,10.3516
3,39,2,49,5,3,0,1068.3009,8/10/2020,8/19/2020,Sophie,,1077.41,9.1091
3,40,2,12,5,3,0,1078.8292,8/10/2020,8/19/2020,Sophie,,1090.02,11.1908
3,41,2,67,4,3,0,1086.4242,8/10/2020,8/19/2020,Sophie,,1104.07,17.6458
3,42,2,46,2,2,0,1079.2771,8/10/2020,8/19/2020,Sophie,,1087.62,8.3429
3,43,2,40,5,2,0,1080.2917,8/10/2020,8/19/2020,Sophie,,1085.08,4.7883
3,44,2,67,2,5,0,1065.9132,8/10/2020,8/19/2020,Sophie,,1077.92,12.0068
3,45,2,1,1,5,0,1081.6766,8/10/2020,8/19/2020,Sophie,,1088.97,7.2934
3,46,2,19,1,1,0,1063.8014,8/10/2020,8/19/2020,Sophie,,1075.51,11.7086
4,1,1,21,4,1,0,1060.4556,8/10/2020,8/19/2020,Sophie,,1078.5,18.0444
4,2,1,79,2,1,0,1067.5208,8/10/2020,8/19/2020,Sophie,,1074.22,6.6992
4,3,1,12,4,1,0,1081.7845,8/10/2020,8/19/2020,Sophie,,1087.72,5.9355
4,4,1,47,3,5,0,1063.1166,8/10/2020,8/19/2020,Sophie,1,NA,NA
4,5,1,47,1,1,0,1069.1694,8/10/2020,8/19/2020,Sophie,,1080.16,10.9906
4,6,1,21,2,3,0,1061.2767,8/10/2020,8/19/2020,Sophie,,1086.32,25.0433
4,7,1,1,2,1,0,1071.2503,8/10/2020,8/19/2020,Sophie,,1077,5.7497
4,8,1,1,2,2,0,1064.9348,8/10/2020,8/19/2020,Sophie,,1070.08,5.1452
4,9,1,30,4,3,0,1066.4935,8/10/2020,8/19/2020,Sophie,,1072.2,5.7065
4,10,1,61,5,1,1,,,,,,NA,NA
4,11,1,1,4,1,0,1069.0673,8/10/2020,8/19/2020,Sophie,,1073.04,3.9727
4,12,1,6,4,5,1,,,,,,NA,NA
4,13,1,17,4,4,0,1082.2992,8/10/2020,8/19/2020,Sophie,,1087.17,4.8708
4,14,1,79,4,4,0,1071.9931,8/10/2020,8/19/2020,Sophie,,1078.51,6.5169
4,15,1,36,2,1,0,1080.1766,8/10/2020,8/19/2020,Sophie,,1084.86,4.6834
4,16,1,4,1,1,0,1068.2441,8/10/2020,8/19/2020,Sophie,,1073.87,5.6259
4,17,1,56,4,2,0,1059.4888,8/10/2020,8/19/2020,Sophie,,1064.01,4.5212
4,18,1,67,1,4,0,1064.6028,8/10/2020,8/19/2020,Sophie,,1070.13,5.5272
4,19,1,2,3,1,0,1072.4667,8/10/2020,8/19/2020,Sophie,,1075.9,3.4333
4,20,1,8,1,1,0,1078.5538,8/10/2020,8/19/2020,Sophie,,1087.01,8.4562
4,21,1,72,5,5,0,1075.8115,8/10/2020,8/19/2020,Sophie,,1078.74,2.9285
4,22,1,12,4,4,1,,,,,,NA,NA
4,23,1,74,2,5,0,1085.3711,8/10/2020,8/19/2020,Sophie,,1088.65,3.2789
4,24,2,77,1,4,0,1080.6938,8/10/2020,8/19/2020,Sophie,1,NA,NA
4,25,2,15,2,5,0,1066.2703,8/10/2020,8/19/2020,Sophie,,1078.49,12.2197
4,26,2,56,2,3,0,1075.1854,8/10/2020,8/19/2020,Sophie,,1078.76,3.5746
4,27,2,32,1,2,0,1081.0161,8/10/2020,8/19/2020,Sophie,,1089.31,8.2939
4,28,2,68,4,3,0,1063.3488,8/10/2020,8/19/2020,Sophie,,1084.04,20.6912
4,29,2,23,1,2,0,1080.0248,8/10/2020,8/19/2020,Sophie,,1095.45,15.4252
4,30,2,4,1,4,0,1073.4954,8/10/2020,8/19/2020,Sophie,,1081.7,8.2046
4,31,2,6,3,1,0,1071.1651,8/10/2020,8/19/2020,Sophie,,1075.99,4.8249
4,32,2,72,5,3,0,1061.5531,8/10/2020,8/19/2020,Sophie,,1073.72,12.1669
4,33,2,4,3,2,0,1058.4032,8/10/2020,8/19/2020,Sophie,,1066.19,7.7868
4,34,2,51,4,3,0,1068.0307,8/10/2020,8/19/2020,Sophie,,1077.06,9.0293
4,35,2,20,3,2,1,,,,,,NA,NA
4,36,2,7,5,5,0,1070.3437,8/10/2020,8/19/2020,Sophie,,1078.1,7.7563
4,37,2,36,5,3,0,1062.9049,8/10/2020,8/19/2020,Sophie,,1070.66,7.7551
4,38,2,40,5,3,0,1067.4603,8/10/2020,8/19/2020,Sophie,,1082.18,14.7197
4,39,2,18,1,1,0,1061.1418,8/10/2020,8/19/2020,Sophie,,1067.24,6.0982
4,40,2,36,1,4,0,1062.21,8/10/2020,8/19/2020,Sophie,,1079.11,16.9
4,41,2,36,1,5,0,1062.8369,8/10/2020,8/19/2020,Sophie,,1071.79,8.9531
4,42,2,2,2,2,0,1058.5399,8/10/2020,8/19/2020,Sophie,,1064.7,6.1601
4,43,2,1,3,5,0,1072.7682,8/10/2020,8/19/2020,Sophie,,1083.26,10.4918
4,44,2,61,4,4,0,1084.6059,8/10/2020,8/19/2020,Sophie,,1090.23,5.6241
4,45,2,18,5,2,0,1081.1028,8/10/2020,8/19/2020,Sophie,,1086.05,4.9472
4,46,2,46,4,1,0,1070.818,8/10/2020,8/19/2020,Sophie,,1077.53,6.712
5,1,1,77,1,1,0,1082.3679,8/10/2020,8/19/2020,Sophie,,1096.33,13.9621
5,2,1,21,5,3,0,1072.3703,8/10/2020,8/19/2020,Sophie,,1079.62,7.2497
5,3,1,19,3,5,0,1070.4838,8/10/2020,8/19/2020,Sophie,,1075.22,4.7362
5,4,1,56,3,3,1,,,,,,NA,NA
5,5,1,32,1,3,0,1074.1986,8/10/2020,8/19/2020,Sophie,,1077.35,3.1514
5,6,1,8,3,5,0,1070.7112,8/10/2020,8/19/2020,Sophie,,1079.54,8.8288
5,7,1,11,1,2,0,1064.1428,8/10/2020,8/19/2020,Sophie,,1075.45,11.3072
5,8,1,4,5,2,0,1064.1279,8/10/2020,8/19/2020,Sophie,,1077.26,13.1321
5,9,1,28,1,3,1,,,,,,NA,NA
5,10,1,29,1,3,0,1061.6022,8/10/2020,8/19/2020,Sophie,1,NA,NA
5,11,1,3,2,4,0,1067.7851,8/10/2020,8/19/2020,Sophie,,1070.57,2.7849
5,12,1,23,1,5,0,1064.5451,8/10/2020,8/19/2020,Sophie,,1074.49,9.9449
5,13,1,21,3,1,0,1061.1324,8/10/2020,8/19/2020,Sophie,,1067.52,6.3876
5,14,1,49,2,3,0,1062.6541,8/10/2020,8/19/2020,Sophie,,1065.72,3.0659
5,15,1,72,3,5,0,1069.604,8/10/2020,8/19/2020,Sophie,,1082.1,12.496
