x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.13,2014-03-13 00:00:00,ON,2014,3,13,-11.3,,-16.5,,-6.1,,0,,,M,,M,22,,,M,,M,0,,29.3,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.14,2014-03-14 00:00:00,ON,2014,3,14,2.2,,-6.1,,10.5,,0,,,M,,M,18,,,M,,M,0,,15.8,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.15,2014-03-15 00:00:00,ON,2014,3,15,-0.6,,-7.3,,6.1,,0,,,M,,M,10,,,M,,M,0,,18.6,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.16,2014-03-16 00:00:00,ON,2014,3,16,-9.9,,-12.6,,-7.1,,0,,,M,,M,9,,,M,,M,0,,27.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.17,2014-03-17 00:00:00,ON,2014,3,17,-8.7,,-13.8,,-3.5,,0,,,M,,M,9,,,M,,M,0,,26.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.18,2014-03-18 00:00:00,ON,2014,3,18,-0.9,,-3.7,,2,,0,,,M,,M,8,,,M,,M,0,,18.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.19,2014-03-19 00:00:00,ON,2014,3,19,4,,0.8,,7.1,,6.2,,,M,,M,7,,,M,,M,0,,14,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.20,2014-03-20 00:00:00,ON,2014,3,20,1.5,,-1.3,,4.3,,0,,,M,,M,6,,,M,,M,0,,16.5,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.21,2014-03-21 00:00:00,ON,2014,3,21,0.2,,-2.5,,2.8,,0,,,M,,M,6,,,M,,M,0,,17.8,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.22,2014-03-22 00:00:00,ON,2014,3,22,-1.2,,-5.7,,3.4,,1,,,M,,M,5,,,M,,M,0,,19.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.23,2014-03-23 00:00:00,ON,2014,3,23,-6.6,,-8.9,,-4.3,,0,,,M,,M,4,,,M,,M,0,,24.6,,,,,
