"","Population","Row","Column","Block","Family","Replicate","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pods","Peduncles","Flower_count_I1","Hood_L.I1F1","Hood_W.I1F1","Corolla_L.I1F1","Corolla_W.I1F1","Flower_L.I1F1","Flower_W.I1F1","Poll_rem.I1F1","Hood_L.I1F2","Hood_W.I1F2","Corolla_L.I1F2","Corolla_W.I1F2","Flower_L.I1F2","Flower_W.I1F2","Poll_rem.I1F2","Hood_L.I1F3","Hood_W.I1F3","Corolla_L.I1F3","Corolla_W.I1F3","Flower_L.I1F3","Flower_W.I1F3","Poll_rem.I1F3","Flower_count_I2","Hood_L.I2F1","Hood_W.I2F1","Corolla_L.I2F1","Corolla_W.I2F1","Flower_L.I2F1","Flower_W.I2F1","Poll_rem.I2F1","Hood_L.I2F2","Hood_W.I2F2","Corolla_L.I2F2","Corolla_W.I2F2","Flower_L.I2F2","Flower_W.I2F2","Poll_rem.I2F2","Hood_L.I2F3","Hood_W.I2F3","Corolla_L.I2F3","Corolla_W.I2F3","Flower_L.I2F3","Flower_W.I2F3","Poll_rem.I2F3","Flower_count_I3","Hood_L.I3F1","Hood_W.I3F1","Corolla_L.I3F1","Corolla_W.I3F1","Flower_L.I3F1","Flower_W.I3F1","Poll_rem.I3F1","Hood_L.I3F2","Hood_W.I3F2","Corolla_L.I3F2","Corolla_W.I3F2","Flower_L.I3F2","Flower_W.I3F2","Poll_rem.I3F2","Hood_L.I3F3","Hood_W.I3F3","Corolla_L.I3F3","Corolla_W.I3F3","Flower_L.I3F3","Flower_W.I3F3","Poll_rem.I3F3","Flowered","Hood.I1F1","Hood.I1F2","Hood.I1F3","Hood.I2F1","Hood.I2F2","Hood.I2F3","Hood.I3F1","Hood.I3F2","Hood.I3F3","Hood.I1","Hood.I2","Hood.I3","Hood_mean","Corolla.I1F1","Corolla.I1F2","Corolla.I1F3","Corolla.I2F1","Corolla.I2F2","Corolla.I2F3","Corolla.I3F1","Corolla.I3F2","Corolla.I3F3","Corolla.I1","Corolla.I2","Corolla.I3","Corolla_mean","Flower.I1F1","Flower.I1F2","Flower.I1F3","Flower.I2F1","Flower.I2F2","Flower.I2F3","Flower.I3F1","Flower.I3F2","Flower.I3F3","Flower.I1","Flower.I2","Flower.I3","Flower_mean","Overall_mean","mean_flower_count","total_flower_count","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score","Year","Pop_ID"
"150",8,3,17,1,2,5,NA,"7/11/2022","7/15/2022","8/8/2022",4,5,44,2.98,2.54,8.3,4.66,8.18,8.06,0,3.01,2.47,8.23,4.18,8.58,8.26,0,3.12,2.13,8.11,4.51,8.37,8.29,0,14,2.5,2.35,6.55,4.07,7.9,7.73,1,2.61,2.14,6.84,4.01,7.58,8.03,0,2.8,2.31,6.58,3.99,7.48,7.81,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5692,7.4347,6.6456,5.875,5.5854,6.468,NA,NA,NA,7.2165,5.97613333333333,NA,6.59631666666667,38.678,34.4014,36.5761,26.6585,27.4284,26.2542,NA,NA,NA,36.5518333333333,26.7803666666667,NA,31.6661,65.9308,70.8708,69.3873,61.067,60.8674,58.4188,NA,NA,NA,68.7296333333333,60.1177333333333,NA,64.4236833333333,34.2287,29,58,"AS021",43.457451,-79.866815,"Rural",45019.0640911002,45.0190640911002,"Rural",-1.67951,"2022","MW008"
"151",9,5,20,1,1,5,"only 2 inflor ","7/11/2022","7/13/2022",NA,0,2,6,2.97,2.26,6.76,3.87,8.12,7.82,2,3.06,2.15,6.84,3.99,8.47,8.2,0,3.11,2.07,6.59,3.54,8.53,8.17,0,20,2.49,2.25,7.34,3.8,6.97,6.67,1,2.58,2.15,7.3,3.16,7.58,7.06,1,2.66,1.97,7.58,3.68,7.13,7.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.7122,6.579,6.4377,5.6025,5.547,5.2402,NA,NA,NA,6.5763,5.46323333333333,NA,6.01976666666667,26.1612,27.2916,23.3286,27.892,23.068,27.8944,NA,NA,NA,25.5938,26.2848,NA,25.9393,63.4984,69.454,69.6901,46.4899,53.5148,50.4804,NA,NA,NA,67.5475,50.1617,NA,58.8546,30.2712222222222,13,26,"AS022",43.516263,-79.77922,"Rural",35701.894221116,35.701894221116,"Rural",-2.37356,"2022","MW009"
"152",9,3,4,1,2,2,NA,"7/8/2022","7/22/2022","8/10/2022",5,6,56,3.14,2.21,8.16,4.58,8.54,8.18,0,3.12,2.13,8.41,4.36,8.58,8.33,1,3.33,2.23,8.67,4.21,8.69,8.72,1,63,3.29,2.34,8.12,4.38,9.02,9.09,0,3.48,2.18,7.86,4.08,9.06,9.18,0,3.58,2.31,8.15,4.52,9.08,9.34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.9394,6.6456,7.4259,7.6986,7.5864,8.2698,NA,NA,NA,7.00363333333333,7.8516,NA,7.42761666666667,37.3728,36.6676,36.5007,35.5656,32.0688,36.838,NA,NA,NA,36.8470333333333,34.8241333333333,NA,35.8355833333333,69.8572,71.4714,75.7768,81.9918,83.1708,84.8072,NA,NA,NA,72.3684666666667,83.3232666666667,NA,77.8458666666667,40.3696888888889,59.5,119,"AS022",43.516263,-79.77922,"Rural",35701.894221116,35.701894221116,"Rural",-2.37356,"2022","MW009"
"153",11,6,5,1,2,4,NA,"7/4/2022","7/15/2022","7/27/2022",12,9,12,2.98,1.6,8.39,3.94,9.19,8.37,0,3.06,1.74,8.55,3.68,9.63,9.14,0,3.12,1.84,8.36,2.99,9.61,9.35,1,13,2.95,1.66,6.21,3.55,7.66,7.61,0,3.26,1.84,6.38,3.97,7.69,8.05,1,3.2,2.13,7.51,3.68,8.02,7.84,0,16,2.9,1.97,7.65,4.64,7.97,8.25,0,3.11,1.96,7.84,3.94,8.11,7.82,1,3.06,1.84,7.69,4.31,8.25,8.36,0,1,4.768,5.3244,5.7408,4.897,5.9984,6.816,5.713,6.0956,5.6304,5.27773333333333,5.9038,5.813,5.66484444444444,33.0566,31.464,24.9964,22.0455,25.3286,27.6368,35.496,30.8896,33.1439,29.839,25.0036333333333,33.1765,29.3397111111111,76.9203,88.0182,89.8535,58.2926,61.9045,62.8768,65.7525,63.4202,68.97,84.9306666666667,61.0246333333333,66.0475666666667,70.6676222222222,35.2240592592593,13.6666666666667,41,"AS024",43.589594,-79.638468,"South",22044.809923962,22.044809923962,"Urban",2.10156,"2022","MW011"
"154",11,1,24,2,3,5,NA,"7/6/2022","7/25/2022","7/27/2022",15,15,31,2.98,2.07,7.29,4.16,10.31,10.3,0,3.04,2.15,7.64,4.17,9.87,9.65,0,2.89,2.13,7.15,4.03,9.68,9.07,1,42,3.25,2.27,7.26,4.06,8.55,8.98,1,3.77,2.41,7.36,3.97,8.62,8.77,0,3.55,2.61,8.45,4.63,9.54,9.14,0,36,2.96,2.13,7.08,4.8,9.85,9.52,0,3.05,2.14,8.47,4.51,10.04,9.78,1,3.16,2.07,7.58,3.97,9.47,9.51,0,1,6.1686,6.536,6.1557,7.3775,9.0857,9.2655,6.3048,6.527,6.5412,6.28676666666667,8.57623333333333,6.45766666666667,7.10688888888889,30.3264,31.8588,28.8145,29.4756,29.2192,39.1235,33.984,38.1997,30.0926,30.3332333333333,32.6061,34.0921,32.3438111111111,106.193,95.2455,87.7976,76.779,75.5974,87.1956,93.772,98.1912,90.0597,96.4120333333333,79.8573333333333,94.0076333333333,90.0923333333333,43.1810111111111,36.3333333333333,109,"AS024",43.589594,-79.638468,"South",22044.809923962,22.044809923962,"Urban",2.10156,"2022","MW011"
"155",11,17,13,3,2,1,NA,"7/6/2022","7/25/2022","7/27/2022",4,13,9,2.68,1.49,6.81,3.68,8.22,7.85,3,2.98,1.67,6.79,3.55,8.26,8.16,0,3.08,1.84,6.94,3.62,8.12,8.06,1,19,3.23,1.78,8.28,3.63,8.26,8.27,3,3.11,1.76,8.5,3.74,8.96,8.37,0,3.52,1.9,8.14,3.44,8.59,8.22,1,13,2.93,1.92,6.75,4.02,7.35,7.46,1,3.05,1.88,6.58,3.69,7.88,7.41,2,3.16,2.07,6.35,3.22,7.63,7.71,0,1,3.9932,4.9766,5.6672,5.7494,5.4736,6.688,5.6256,5.734,6.5412,4.879,5.97033333333333,5.96693333333333,5.60542222222222,25.0608,24.1045,25.1228,30.0564,31.79,28.0016,27.135,24.2802,20.447,24.7627,29.9493333333333,23.9540666666667,26.2220333333333,64.527,67.4016,65.4472,68.3102,74.9952,70.6098,54.831,58.3908,58.8273,65.7919333333333,71.3050666666667,57.3497,64.8155666666667,32.2143407407407,13.6666666666667,41,"AS024",43.589594,-79.638468,"South",22044.809923962,22.044809923962,"Urban",2.10156,"2022","MW011"
"156",11,11,3,1,1,3,NA,"7/8/2022","7/20/2022","8/4/2022",9,7,18,3.24,2.02,7.58,4.34,9.27,9.01,4,3.28,2.05,7.8,4.31,10.27,9.69,0,3.68,2.15,9.68,4.18,9.32,10.08,2,7,2.51,1.96,9.06,4.27,6.93,6.85,0,2.68,2.14,8.63,4.42,7.15,7.08,2,2.84,2.06,7.96,4.14,7.18,7.03,0,21,3.77,2.1,8.36,4.58,9.74,9.71,2,3.5,2.16,8.39,3.96,8.35,8.47,0,4.01,2.31,8.01,4.06,8.96,8.63,1,1,6.5448,6.724,7.912,4.9196,5.7352,5.8504,7.917,7.56,9.2631,7.06026666666667,5.50173333333333,8.2467,6.93623333333333,32.8972,33.618,40.4624,38.6862,38.1446,32.9544,38.2888,33.2244,32.5206,35.6592,36.5950666666667,34.6779333333333,35.6440666666667,83.5227,99.5163,93.9456,47.4705,50.622,50.4754,94.5754,70.7245,77.3248,92.3282,49.5226333333333,80.8749,74.2419111111111,38.940737037037,15.3333333333333,46,"AS024",43.589594,-79.638468,"South",22044.809923962,22.044809923962,"Urban",2.10156,"2022","MW011"
"157",11,5,7,1,1,2,"only 1 inflor","6/29/2022","7/18/2022","8/2/2022",2,1,12,3.24,2.11,7.24,4.42,7.21,7.06,0,3.2,2.31,7.54,4.25,7.85,7.49,0,3.26,2.04,7.95,4.68,7.67,7.69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.8364,7.392,6.6504,NA,NA,NA,NA,NA,NA,6.9596,NA,NA,6.9596,32.0008,32.045,37.206,NA,NA,NA,NA,NA,NA,33.7506,NA,NA,33.7506,50.9026,58.7965,58.9823,NA,NA,NA,NA,NA,NA,56.2271333333333,NA,NA,56.2271333333333,32.3124444444444,12,12,"AS024",43.589594,-79.638468,"South",22044.809923962,22.044809923962,"Urban",2.10156,"2022","MW011"
"158",11,18,17,3,1,5,NA,"7/4/2022","7/8/2022",NA,0,4,17,3.05,2.22,6.55,3.84,8.15,8.78,4,3.11,2.08,6.61,4.02,8.73,8.7,2,3.28,2.05,6.38,4.01,8.68,8.47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.771,6.4688,6.724,NA,NA,NA,NA,NA,NA,6.6546,NA,NA,6.6546,25.152,26.5722,25.5838,NA,NA,NA,NA,NA,NA,25.7693333333333,NA,NA,25.7693333333333,71.557,75.951,73.5196,NA,NA,NA,NA,NA,NA,73.6758666666667,NA,NA,73.6758666666667,35.3666,17,17,"AS024",43.589594,-79.638468,"South",22044.809923962,22.044809923962,"Urban",2.10156,"2022","MW011"
"159",12,21,41,4,3,3,"only 2 inflor ","7/18/2022","7/20/2022","8/8/2022",3,2,18,3.72,2.07,7.67,3.48,7.53,7.24,2,3.65,2.01,7.85,3.24,8.01,7.66,0,3.69,2.14,7.84,3.23,7.33,7.19,0,15,3.24,2.02,7.49,3.74,7.5,7.48,1,3.61,2.05,7.85,3.55,7.28,7.68,0,3.24,2.11,7.33,3.16,7.84,7.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.7004,7.3365,7.8966,6.5448,7.4005,6.8364,NA,NA,NA,7.6445,6.92723333333333,NA,7.28586666666667,26.6916,25.434,25.3232,28.0126,27.8675,23.1628,NA,NA,NA,25.8162666666667,26.3476333333333,NA,26.08195,54.5172,61.3566,52.7027,56.1,55.9104,59.7408,NA,NA,NA,56.1921666666667,57.2504,NA,56.7212833333333,30.0297,16.5,33,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053,"2022","MW012"
"160",12,9,3,1,3,1,NA,"6/29/2022","7/25/2022","7/25/2022",4,5,20,3.37,2.18,7.17,3.65,7.35,6.91,1,3.06,2.13,7.28,3.55,7.85,7.46,0,3.48,2.06,7.56,3.17,7.99,7.84,1,18,3.78,1.97,7.49,3.44,7.4,7.56,0,3.65,1.87,7.68,3.21,7.94,7.66,0,3.69,2.03,7.64,3.62,8.05,7.84,1,19,3.9,2.34,7.67,4.11,7.99,7.41,0,3.84,2.21,7.58,3.65,8.08,7.93,1,4.07,2.51,8.47,4.01,8.01,7.84,0,1,7.3466,6.5178,7.1688,7.4466,6.8255,7.4907,9.126,8.4864,10.2157,7.01106666666667,7.25426666666667,9.27603333333333,7.84712222222222,26.1705,25.844,23.9652,25.7656,24.6528,27.6568,31.5237,27.667,33.9647,25.3265666666667,26.0250666666667,31.0518,27.4678111111111,50.7885,58.561,62.6416,55.944,60.8204,63.112,59.2059,64.0744,62.7984,57.3303666666667,59.9588,62.0262333333333,59.7718,31.6955777777778,19,57,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053,"2022","MW012"
"161",12,17,17,3,2,5,"only 1 inflor left and only 2 flowers left","7/13/2022","7/13/2022",NA,0,1,6,3.14,2.34,7.51,4.68,8.15,7.93,0,3.61,2.52,7.69,4.52,8.66,8.59,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.3476,9.0972,NA,NA,NA,NA,NA,NA,NA,8.2224,NA,NA,8.2224,35.1468,34.7588,NA,NA,NA,NA,NA,NA,NA,34.9528,NA,NA,34.9528,64.6295,74.3894,NA,NA,NA,NA,NA,NA,NA,69.50945,NA,NA,69.50945,37.56155,6,6,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053,"2022","MW012"
"162",12,13,29,4,1,2,NA,"7/6/2022","7/27/2022",NA,0,4,12,1.67,1.82,7.2,3.07,5.9,5.75,1,1.84,1.68,7.16,3.18,6.25,6.2,0,1.75,1.84,7.36,3.16,6.59,6.42,0,5,2.17,1.87,5.49,3.41,6.29,6.05,0,1.94,2.01,5.8,3.53,5.79,5.89,0,2.31,1.74,6.51,3.23,6.85,6.14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.0394,3.0912,3.22,4.0579,3.8994,4.0194,NA,NA,NA,3.11686666666667,3.99223333333333,NA,3.55455,22.104,22.7688,23.2576,18.7209,20.474,21.0273,NA,NA,NA,22.7101333333333,20.0740666666667,NA,21.3921,33.925,38.75,42.3078,38.0545,34.1031,42.059,NA,NA,NA,38.3276,38.0722,NA,38.1999,21.04885,8.5,17,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053,"2022","MW012"
"163",12,6,6,1,1,4,NA,"7/11/2022","7/18/2022","8/4/2022",6,4,36,2.77,2.17,6.49,3.66,7.76,7.68,0,2.87,2.13,6.58,3.48,7.96,7.81,0,2.84,2.06,6.59,3.17,7.48,7.51,1,15,2.95,2.2,7.12,3.14,7.03,6.81,0,3.09,2.37,7.26,3.18,7.33,7.29,0,3.1,2.05,7.16,3.09,7.49,7.44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.0109,6.1131,5.8504,6.49,7.3233,6.355,NA,NA,NA,5.99146666666667,6.72276666666667,NA,6.35711666666667,23.7534,22.8984,20.8903,22.3568,23.0868,22.1244,NA,NA,NA,22.5140333333333,22.5226666666667,NA,22.51835,59.5968,62.1676,56.1748,47.8743,53.4357,55.7256,NA,NA,NA,59.3130666666667,52.3452,NA,55.8291333333333,28.2348666666667,25.5,51,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053,"2022","MW012"
"164",12,3,1,1,5,1,NA,"6/27/2022","7/18/2022","8/2/2022",20,15,64,4.44,3.17,6.14,4.61,8.57,8.61,0,4.15,3.02,6.43,4.32,8.22,8.16,0,4.65,3.35,7.14,4.55,8.56,8.13,0,1,4.27,2.4,5.34,4.31,7.96,8.38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,3.67,2.83,7.09,4.01,8.33,8.48,0,4.36,2.67,7.48,4.54,8.65,8.01,0,4.45,2.67,9.12,4.09,8.24,8.56,1,1,14.0748,12.533,15.5775,10.248,NA,NA,10.3861,11.6412,11.8815,14.0617666666667,10.248,11.3029333333333,11.8709,28.3054,27.7776,32.487,23.0154,NA,NA,28.4309,33.9592,37.3008,29.5233333333333,23.0154,33.2303,28.5896777777778,73.7877,67.0752,69.5928,66.7048,NA,NA,70.6384,69.2865,70.5344,70.1519,66.7048,70.1531,69.0032666666667,36.4879481481481,43,129,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053,"2022","MW012"
"165",12,11,28,4,2,1,NA,"7/29/2022","8/4/2022",NA,0,3,27,3.01,2.15,6.75,4.01,8.99,8.76,1,3.12,2.05,6.51,3.69,9.06,8.77,1,3.25,2.07,6.69,3.51,8.96,8.57,0,7,3.13,2.47,6.66,3.84,9.09,8.79,2,3.28,2.57,6.89,3.61,9.58,9.26,0,3.38,2.17,6.94,3.51,9.3,9.17,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.4715,6.396,6.7275,7.7311,8.4296,7.3346,NA,NA,NA,6.53166666666667,7.83176666666667,NA,7.18171666666667,27.0675,24.0219,23.4819,25.5744,24.8729,24.3594,NA,NA,NA,24.8571,24.9355666666667,NA,24.8963333333333,78.7524,79.4562,76.7872,79.9011,88.7108,85.281,NA,NA,NA,78.3319333333333,84.6309666666667,NA,81.48145,37.8531666666667,14,42,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053,"2022","MW012"
"166",12,14,32,4,2,3,NA,"7/8/2022","7/22/2022","8/10/2022",1,5,23,2.74,1.98,6.73,3.64,7.08,7.01,0,2.83,1.74,6.62,3.26,7.27,7.47,2,2.84,1.87,6.42,3.84,7.29,7.69,0,33,2.36,1.93,6.33,3.67,6.98,6.5,1,2.65,1.98,6.58,3.54,7.05,6.58,0,2.74,1.84,6.57,3.47,6.83,6.99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.4252,4.9242,5.3108,4.5548,5.247,5.0416,NA,NA,NA,5.22006666666667,4.9478,NA,5.08393333333333,24.4972,21.5812,24.6528,23.2311,23.2932,22.7979,NA,NA,NA,23.5770666666667,23.1074,NA,23.3422333333333,49.6308,54.3069,56.0601,45.37,46.389,47.7417,NA,NA,NA,53.3326,46.5002333333333,NA,49.9164166666667,26.1141944444444,28,56,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053,"2022","MW012"
"167",12,7,33,2,2,2,NA,"7/13/2022","7/27/2022","8/8/2022",20,10,53,2.82,1.93,6.73,3.28,7.39,7.2,0,2.91,1.84,6.84,3.16,7.58,7.69,1,3.16,1.88,6.81,3.58,8.23,7.12,0,40,3.77,2.28,7.59,4,9.8,9.52,0,3.87,2.21,7.81,4.03,9.68,9.31,1,3.41,2.12,8.36,4.08,9.58,9.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.4426,5.3544,5.9408,8.5956,8.5527,7.2292,NA,NA,NA,5.57926666666667,8.12583333333333,NA,6.85255,22.0744,21.6144,24.3798,30.36,31.4743,34.1088,NA,NA,NA,22.6895333333333,31.9810333333333,NA,27.3352833333333,53.208,58.2902,58.5976,93.296,90.1208,87.5612,NA,NA,NA,56.6986,90.326,NA,73.5123,35.9000444444444,46.5,93,"AS025",43.534585,-79.645432,"South",25268.1118797278,25.2681118797278,"Urban",0.4053,"2022","MW012"
"168",13,8,5,1,5,4,"only 1 inflor ","7/4/2022","7/8/2022",NA,0,1,24,3.17,2.12,7.74,3.27,8.44,8.19,0,3.25,2.07,7.84,3.61,8.59,8.26,1,3.16,2.14,7.46,3.18,8.41,8.23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.7204,6.7275,6.7624,NA,NA,NA,NA,NA,NA,6.73676666666667,NA,NA,6.73676666666667,25.3098,28.3024,23.7228,NA,NA,NA,NA,NA,NA,25.7783333333333,NA,NA,25.7783333333333,69.1236,70.9534,69.2143,NA,NA,NA,NA,NA,NA,69.7637666666667,NA,NA,69.7637666666667,34.0929555555556,24,24,"AS026",43.615384,-79.570454,"South",15936.9812417788,15.9369812417788,"Urban",2.12016,"2022","MW013"
"169",13,3,5,1,5,5,"3rd inflor only has one left","7/4/2022","7/18/2022","7/29/2022",13,5,47,2.96,1.91,8.39,3.89,8.05,8.04,1,3.42,1.72,8.28,3.35,7.64,7.72,0,3.25,2.03,7.98,3.61,8.69,8.05,1,38,3.01,2.07,7.94,4.16,8.37,8.44,1,3.25,2.16,8.14,4.09,8.51,8.32,0,3.62,2.31,7.96,3.59,8.16,8.35,0,2,2.6,1.85,8.62,4.06,8.02,7.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5.6536,5.8824,6.5975,6.2307,7.02,8.3622,4.81,NA,NA,6.0445,7.2043,4.81,6.0196,32.6371,27.738,28.8078,33.0304,33.2926,28.5764,34.9972,NA,NA,29.7276333333333,31.6331333333333,34.9972,32.1193222222222,64.722,58.9808,69.9545,70.6428,70.8032,68.136,62.155,NA,NA,64.5524333333333,69.8606666666667,62.155,65.5227,34.5538740740741,29,87,"AS026",43.615384,-79.570454,"South",15936.9812417788,15.9369812417788,"Urban",2.12016,"2022","MW013"
"170",14,3,3,1,5,1,NA,"7/4/2022","8/4/2022","7/27/2022",18,13,54,3.15,2.34,6.47,4.44,7.81,6.96,0,3.16,2.12,6.84,3.98,7.84,7.58,0,3.36,2.16,7.16,3.54,8.14,8.23,1,45,3.79,2.58,7.06,4.42,10.32,10.21,0,3.84,2.16,7.68,3.96,10.06,9.58,1,3.68,2.13,8.05,4.16,9.69,9.38,0,63,4.04,2.18,8.21,4.21,8.69,8.74,0,4.16,2.58,8.41,3.69,9.06,8.74,1,4.26,2.17,8.57,3.57,8.68,8.15,0,1,7.371,6.6992,7.2576,9.7782,8.2944,7.8384,8.8072,10.7328,9.2442,7.10926666666667,8.637,9.59473333333333,8.447,28.7268,27.2232,25.3464,31.2052,30.4128,33.488,34.5641,31.0329,30.5949,27.0988,31.702,32.0639666666667,30.2882555555556,54.3576,59.4272,66.9922,105.3672,96.3748,90.8922,75.9506,79.1844,70.742,60.259,97.5447333333333,75.2923333333333,77.6986888888889,38.8113148148148,54,162,"AS027",43.648581,-79.521463,"South",11353.9911211033,11.3539911211033,"Urban",1.74833,"2022","MW014"
"171",14,10,1,1,4,5,NA,"7/4/2022","7/8/2022",NA,0,3,10,3.04,2.12,7.23,3.63,8.3,8.81,0,3.15,2.16,7.36,3.58,8.26,8.47,1,3.28,2.41,7.85,3.54,8.69,8.46,0,22,2.27,2.08,6.18,3.61,6.94,6.7,1,2.52,2.16,6.21,3.58,7.16,6.84,0,2.18,2.03,6.51,3.57,7.4,7.23,0,5,2.84,2.27,6.75,3.74,7.98,7.56,0,2.95,2.18,7.13,3.52,7.85,8.11,0,2.94,2.18,6.89,3.62,8.05,7.66,1,1,6.4448,6.804,7.9048,4.7216,5.4432,4.4254,6.4468,6.431,6.4092,7.0512,4.8634,6.429,6.11453333333333,26.2449,26.3488,27.789,22.3098,22.2318,23.2407,25.245,25.0976,24.9418,26.7942333333333,22.5941,25.0948,24.8277111111111,73.123,69.9622,73.5174,46.498,48.9744,53.502,60.3288,63.6635,61.663,72.2008666666667,49.6581333333333,61.8851,61.2480333333333,30.7300925925926,12.3333333333333,37,"AS027",43.648581,-79.521463,"South",11353.9911211033,11.3539911211033,"Urban",1.74833,"2022","MW014"
"172",15,1,17,1,5,5,NA,"6/29/2022","7/13/2022",NA,0,5,11,3.55,2.3,6.78,4.02,7.16,7.21,0,3.69,2.12,7.12,4.11,7.65,7.84,1,3.41,2.15,6.97,3.68,8.17,8.61,0,13,2.94,1.67,7.17,3.39,7.25,7.05,0,3.16,1.94,7.36,3.88,8.06,7.89,1,2.85,1.98,8.16,4.01,8.17,8.32,1,3,2.44,1.75,7.41,3.02,6.75,6.63,0,2.57,1.84,7.85,2.95,7.01,6.85,0,3.05,1.77,7.68,3.11,6.84,6.19,0,1,8.165,7.8228,7.3315,4.9098,6.1304,5.643,4.27,4.7288,5.3985,7.7731,5.56106666666667,4.7991,6.04442222222222,27.2556,29.2632,25.6496,24.3063,28.5568,32.7216,22.3782,23.1575,23.8848,27.3894666666667,28.5282333333333,23.1401666666667,26.3526222222222,51.6236,59.976,70.3437,51.1125,63.5934,67.9744,44.7525,48.0185,42.3396,60.6477666666667,60.8934333333333,45.0368666666667,55.5260222222222,29.3076888888889,9,27,"AS028",43.661177,-79.500382,"South",9637.37613958796,9.63737613958796,"Urban",0.148848,"2022","MW015"
