Row,Column,Block,Population,Family,Replicate,Date,Surveyor,Comment,Scar_length_mm,Height_cm_ram1,Height_cm_ram2,Height_cm_ram3,Height_cm_ram4,Height_cm_ram5,Height_cm_ram6,Height_cm_ram7,Height_cm_ram8,Height_cm_ram9,Height_cm_ram10,Height_cm_ram11,Height_cm_ram12,Height_cm_ram13,Height_cm_ram14,Height_cm_ram15,Height_cm_ram16
4,7,1,1,2,1,7/3/2021,Sophie,,41.1,18.2,41.9,,,,,,,,,,,,,,
4,8,1,1,2,2,7/3/2021,Sophie,,25.5,37.6,54.2,,,,,,,,,,,,,,
4,9,1,30,4,3,7/3/2021,Sophie,,55.12,12.3,19.7,22.3,22.9,,,,,,,,,,,,
4,10,1,61,5,1,7/3/2021,Sophie,,0,0,,,,,,,,,,,,,,,
4,11,1,1,4,1,7/3/2021,Sophie,,67,30.4,5.5,7.6,,,,,,,,,,,,,
4,12,1,6,4,5,7/3/2021,Sophie,,0,0,,,,,,,,,,,,,,,
4,13,1,17,4,4,7/3/2021,Sophie,,0,19.3,9.5,5,,,,,,,,,,,,,
4,14,1,79,4,4,7/3/2021,Sophie,,0,7.1,5.8,,,,,,,,,,,,,,
4,15,1,36,2,1,7/3/2021,Sophie,,44.4,4.9,21.7,31.3,22.9,,,,,,,,,,,,
4,16,1,4,1,1,7/3/2021,Sophie,,57.7,14.3,41.1,18,42,19.8,41,6.7,8.8,14.1,35.4,25.3,,,,,
4,17,1,56,4,2,7/3/2021,Sophie,,88.1,17.3,8,9.6,24,36.1,,,,,,,,,,,
4,18,1,67,1,4,7/3/2021,Sophie,,99.6,9.4,7.7,9.5,10.1,18.1,15.4,22.1,25.1,,,,,,,,
4,19,1,2,3,1,7/3/2021,Sophie,,18.3,24.3,28.8,11,22.5,,,,,,,,,,,,
4,20,1,8,1,1,7/3/2021,Sophie,,28.5,11.5,11,6.2,19.3,,,,,,,,,,,,
